"X","f(x)","f'(x)"
0.000000,0.000000,0.999342
0.062832,0.062791,0.997370
0.125664,0.125333,0.598143
0.188496,0.187381,0.365157
0.251327,0.248690,0.198683
0.314159,0.309017,0.065483
0.376991,0.368125,-0.048684
0.439823,0.425779,-0.150933
0.502655,0.481754,-0.245216
0.565487,0.535827,-0.333900
0.628319,0.587785,-0.418489
0.691150,0.637424,-0.499984
0.753982,0.684547,-0.579075
0.816814,0.728969,-0.656254
0.879646,0.770513,-0.731880
0.942478,0.809017,-0.806221
1.005310,0.844328,-0.879481
1.068142,0.876307,-0.951817
1.130973,0.904827,-1.023352
1.193805,0.929776,-1.094185
1.256637,0.951057,-1.164394
1.319469,0.968583,-1.234044
1.382301,0.982287,-1.303186
1.445133,0.992115,-1.371863
1.507964,0.998027,-1.440113
1.570796,1.000000,-1.507964
1.633628,0.998027,-1.575444
1.696460,0.992115,-1.642575
1.759292,0.982287,-1.709374
1.822124,0.968583,-1.775860
1.884956,0.951057,-1.842047
1.947787,0.929776,-1.907948
2.010619,0.904827,-1.973575
2.073451,0.876307,-2.038939
2.136283,0.844328,-2.104050
2.199115,0.809017,-2.168916
2.261947,0.770513,-2.233548
2.324779,0.728969,-2.297952
2.387610,0.684547,-2.362137
2.450442,0.637424,-2.426111
2.513274,0.587785,-2.489881
2.576106,0.535827,-2.553454
2.638938,0.481754,-2.616838
2.701770,0.425779,-2.680039
2.764602,0.368125,-2.743066
2.827433,0.309017,-2.805925
2.890265,0.248690,-2.868623
2.953097,0.187381,-2.931167
3.015929,0.125333,-2.993565
3.078761,0.062791,-3.055824
3.141593,0.000000,-3.117951
3.204425,-0.062791,-3.179953
3.267256,-0.125333,-3.241838
3.330088,-0.187381,-3.303613
3.392920,-0.248690,-3.365286
3.455752,-0.309017,-3.426864
3.518584,-0.368125,-3.488354
3.581416,-0.425779,-3.549764
3.644247,-0.481754,-3.611101
3.707079,-0.535827,-3.672373
3.769911,-0.587785,-3.733587
3.832743,-0.637424,-3.794750
3.895575,-0.684547,-3.855870
3.958407,-0.728969,-3.916953
4.021239,-0.770513,-3.978007
4.084070,-0.809017,-4.039039
4.146902,-0.844328,-4.100055
4.209734,-0.876307,-4.161062
4.272566,-0.904827,-4.222067
4.335398,-0.929776,-4.283077
4.398230,-0.951057,-4.344097
4.461062,-0.968583,-4.405133
4.523893,-0.982287,-4.466192
4.586725,-0.992115,-4.527279
4.649557,-0.998027,-4.588399
4.712389,-1.000000,-4.649557
4.775221,-0.998027,-4.710759
4.838053,-0.992115,-4.772009
4.900885,-0.982287,-4.833312
4.963716,-0.968583,-4.894671
5.026548,-0.951057,-4.956091
5.089380,-0.929776,-5.017575
5.152212,-0.904827,-5.079127
5.215044,-0.876307,-5.140749
5.277876,-0.844328,-5.202444
5.340708,-0.809017,-5.264215
5.403539,-0.770513,-5.326064
5.466371,-0.728969,-5.387992
5.529203,-0.684547,-5.450001
5.592035,-0.637424,-5.512092
5.654867,-0.587785,-5.574266
5.717699,-0.535827,-5.636524
5.780530,-0.481754,-5.698866
5.843362,-0.425779,-5.761292
5.906194,-0.368125,-5.823801
5.969026,-0.309017,-5.886394
6.031858,-0.248690,-5.949068
6.094690,-0.187381,-6.011824
6.157522,-0.125333,-6.074660
6.220353,-0.062791,-6.137574
6.283185,-0.000000,-6.210360
